Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Professional Services.Professional Services,69200,,,101,209,20900
FY20,Expense,Planning,Planning,General Fund,Other Services and Charges,Professional Services.Professional Services,3000,,,101,400,40000
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,20000,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Professional Services.Professional Services,32000,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,15550,,,202,441,47400
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Professional Services.Professional Services,275,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Professional Services.Professional Services,1,,,590,590,54300
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Other Services and Charges,Professional Services.Professional Services,1,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Professional Services.Professional Services,11000,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Professional Services.Professional Services,155500,,,591,591,55300
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Other Services and Charges,Professional Services.Professional Services,1,,,591,591,56400
FY20,Expense,General Government,Administration,Retiree Health Trust Fund,Other Services and Charges,Professional Services.Professional Services,60000,,,732,000,17500
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Professional Services.Professional Services,275,,,591,441,56200
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Professional Services.Noise / Sound Control Contract,500,,,249,371,37210
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Professional Services.Prof Services Pk Design,28750,,,208,752,75200
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Professional Services.Prof Services Pk Design,7200,,,208,752,75600
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal - Gen - Sluiter/Agent,5000,,,101,210,21000
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal - Labor - Miller Jhsn,110000,,,101,210,21000
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal Ct Sluiter Agents,225000,,,101,210,21000
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Professional Services.Legal Special Counsel,25000,,,101,210,21000
FY20,Expense,General Government,Administration,Retiree Health Trust Fund,Other Services and Charges,Professional Services.Legal Special Counsel,5000,,,732,000,17500
FY20,Expense,General Government,Administration,Pension Fund,Other Services and Charges,Professional Services.Legal Special Counsel,15000,,,731,000,17500
FY20,Expense,General Government,Investment Expense,Pension Fund,Other Services and Charges,Professional Services.Investment Advice - Callan,59800,,,731,000,23800
FY20,Expense,Public Works,Administration,Solid Waste Disposal Fund,Other Services and Charges,Administrative Fee.Administrative Fee,54945,,,230,441,17500
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Administrative Fee.Administrative Fee,379641,,,400,441,17500
FY20,Expense,Wastewater Utility,Administration Services,Sewer Fund,Other Services and Charges,Administrative Fee.Administrative Fee,795388,,,590,590,54100
FY20,Expense,Water Utility,Administration,Water Fund,Other Services and Charges,Administrative Fee.Administrative Fee,1043480,,,591,591,55100
FY20,Expense,Public Works,Administration,Sidewalk Fund,Other Services and Charges,Administrative Fee.Administrative Fee,26560,,,211,441,17500
FY20,Expense,Public Works,Administration Fee,Motor Pool Fund,Other Services and Charges,Administrative Fee.Administrative Fee,170772,,,661,441,58100
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Administrative Fee.Administrative Fee,337909,,,208,752,75200
FY20,Expense,Public Works,Street Administration,Local Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,106147,,,203,441,48300
FY20,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,201204,,,202,441,48300
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Administrative Fee.Administrative Fee,21648,,,249,371,37210
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Other Services and Charges,Administrative Fee.Administrative Fee,21648,,,249,371,72200
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Administrative Fee.Administrative Fee,21648,,,249,371,37300
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Administrative Fee.Administrative Fee,21648,,,249,371,37100
FY20,Expense,Facilities,Administration,Library Maint & Capital Fund,Other Services and Charges,Administrative Fee.Administrative Fee,45445,,,401,267,17500
FY20,Expense,General Government,Administration,Capital Projects Revolving Fund,Other Services and Charges,Administrative Fee.Administrative Fee,40932,,,800,000,17500
FY20,Expense,General Government,Liability Ins Claims,General Liability Fund,Other Services and Charges,Administrative Fee.Admin Aloc Rsk Mgmt Gen,39305,,,678,000,96200
FY20,Expense,General Government,W/C Insurance Claims,Workers' Compensation Fund,Other Services and Charges,Administrative Fee.Admin Aloc Rsk Mgmt Gen,48950,,,682,000,96500
FY20,Expense,General Government,Fleet Insurance Claims,Fleet Insurance Fund,Other Services and Charges,Administrative Fee.Admin Aloc Rsk Mgmt Gen,45090,,,679,000,96300
FY20,Expense,General Government,Property Ins Claims,Property Insurance Fund,Other Services and Charges,Administrative Fee.Admin Aloc Rsk Mgmt Gen,43165,,,680,000,96400
FY20,Expense,Wastewater Utility,Administration Services,Sewer Fund,Other Services and Charges,Billing Fees.Billing Fees,583130,,,590,590,54100
FY20,Expense,District Court,District Court,General Fund,Other Services and Charges,Data Processing Services.Data Processing Services,33000,,,101,136,13600
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Software Services.Software Services,351869,,,101,258,25800
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Other Services and Charges,Software Services.Software Services,1460,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Software Services.Software Services,8970,,,208,752,75200
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Software Services.Software Services,1160,,,202,441,47400
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Software Services.Software Services,84775,,,590,590,54300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Software Services.Software Services,9201,,,590,590,54700
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Software Services.Software Services,65366,,,591,591,55300
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Other Services and Charges,Software Services.Software Services,31620,,,661,441,58200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Software Services.Software Services,5500,,,591,591,56500
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Other Services and Charges,Software Services.Software Services,17100,,,591,591,56900
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Other Services and Charges,Software Services.Software Services,1440,,,208,752,76100
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Software Services.Software Services,15660,,,591,441,56200
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Software Services.Software Services,8019,,,249,371,37100
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Software Services.Software Services,2725,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Software Services.Software Services,1362,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Software Services.Software Services,3026,,,249,371,37210
FY20,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Software Services.Software Services,7020,,,101,201,25300
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Software Services.Software Services,2390,,,256,400,69120
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Software Services.Software Services,9280,,,400,441,17500
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Software Services.Software Services,12760,,,202,441,46300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Software Services.Software Services,1344,,,208,752,75600
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Software Services.Software Services,16820,,,590,441,54200
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Software Services.Software Services,5800,,,230,441,44300
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,10920,,,249,371,37210
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,10920,,,249,371,72200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,22160,,,591,441,56200
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,22160,,,590,441,54200
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,22160,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,22160,,,202,441,46300
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,1000,,,208,752,75200
FY20,Expense,Police,Communications/Dispatch,General Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,11910,,,101,305,32500
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Contract Labor.Contract Labor,7000,,,249,371,37100
FY20,Expense,District Court,District Court,General Fund,Other Services and Charges,Witness and Jury Fees.Witness and Jury Fees,12000,,,101,136,13600
FY20,Expense,District Court,District Court,General Fund,Other Services and Charges,Communications.Communications,6900,,,101,136,13600
FY20,Expense,Police,Communications/Dispatch,General Fund,Other Services and Charges,Communications.Communications,2660,,,101,305,32500
FY20,Expense,Police,Building ,General Fund,Other Services and Charges,Communications.Communications,17365,,,101,305,30610
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Communications.Communications,82820,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Communications.Communications,10520,,,101,267,26700
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Other Services and Charges,Communications.Communications,240,,,208,752,75800
FY20,Expense,Fire,Buildings,General Fund,Other Services and Charges,Communications.Communications,10700,,,101,337,33800
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Communications.Communications,2500,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Communications.Communications,3024,,,590,590,54300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Communications.Communications,180,,,590,590,54700
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Other Services and Charges,Communications.Communications,2400,,,591,591,56100
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Communications.Communications,43805,,,591,591,55300
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Other Services and Charges,Communications.Communications,2220,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Communications.Communications,1800,,,591,591,55900
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Communications.Communications,500,,,591,591,56500
FY20,Expense,Public Works,Building,Motor Pool Fund,Other Services and Charges,Communications.Communications,6000,,,661,441,58300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Communications.Communications,700,,,208,752,75600
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Other Services and Charges,Communications.Communications,5200,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Communications.Cellular Phones,1200,,,101,210,21000
FY20,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Communications.Cellular Phones,1000,,,101,215,21500
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,1500,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1988,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1200,,,203,441,47800
FY20,Expense,Public Works,Building,Motor Pool Fund,Other Services and Charges,Communications.Cellular Phones,600,,,661,441,58300
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Communications.Cellular Phones,3600,,,400,441,17500
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Communications.Cellular Phones,180,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Other Services and Charges,Communications.Cellular Phones,150,,,256,400,17520
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Other Services and Charges,Communications.Cellular Phones,72,,,590,590,54801
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Communications.Cellular Phones,3232,,,249,371,37100
FY20,Expense,Police,Communications/Dispatch,General Fund,Other Services and Charges,Communications.Cellular Phones,18450,,,101,305,32500
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Communications.Cellular Phones,50370,,,101,305,31500
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Communications.Cellular Phones,928,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Communications.Cellular Phones,300,,,249,371,37220
